                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0943,                 4.8884,                 3.0104,                 1.3806,                0.00661,                0.81579,                 0.0194,                0.00837,                0.00436,                0.52632,                0.00871,                0.00355,                 1.7311,                 4.6011,                 3.0462,                 1.7518,                 0.0928,                 0.0008,                 0.0008
                      1,                0.84567,                 2.8353,                 2.8978,                 1.2064,                0.00696,                0.84211,                0.07727,                0.04129,                0.00609,                0.73684,                0.06759,                0.03701,                 1.1621,                 3.6263,                 2.9525,                 1.3251,               0.084655,              0.0016545,              0.0016545
                      2,                0.72155,                  2.327,                 2.7845,                 1.1531,                0.00704,                0.84211,                0.24365,                0.11928,                0.00694,                0.84211,                0.13356,                0.08416,                0.86286,                 3.1162,                 2.8713,                 1.1428,               0.076461,              0.0024609,              0.0024609
                      3,                0.68323,                 1.9471,                 2.5912,                 1.1102,                0.00774,                0.92105,                 0.3113,                0.16718,                0.00671,                0.81579,                0.23212,                0.13635,                0.89915,                 3.9059,                 2.8397,                 1.1562,               0.068219,              0.0032191,              0.0032191
                      4,                 0.6585,                 1.7952,                 2.2251,                 1.1026,                0.88583,                0.17841,                0.39175,                0.27951,                0.82874,                0.15209,                0.35292,                0.21067,                 1.0409,                   3.21,                 2.5617,                 1.2819,               0.059929,              0.0039291,              0.0039291
                      5,                0.64167,                 1.6921,                  1.878,                 1.0813,                0.55185,                0.13158,                0.37244,                0.26111,                0.48648,                0.10526,                0.29942,                0.18935,                 1.0989,                 3.4444,                 2.5735,                 1.2843,               0.051591,              0.0045909,              0.0045909
                      6,                0.66899,                 1.8208,                 1.6966,                 1.1097,                0.53625,                0.17441,                0.38055,                0.25686,                0.53625,                0.17441,                0.37316,                0.19689,                  1.088,                 3.0867,                 2.5571,                 1.2807,               0.043205,              0.0052046,              0.0052046
                      7,                0.64852,                 1.6242,                 1.5295,                 1.0628,                0.73324,                0.04734,                0.27378,                0.17304,                0.72616,                 0.0451,                0.21438,                0.14421,                 1.2161,                 3.5019,                 2.6214,                 1.3789,                0.03477,              0.0057702,              0.0057702
                      8,                 0.6647,                 1.7715,                 1.4376,                 1.0754,                0.52896,                0.34211,                0.41804,                0.29353,                0.53316,                0.34211,                0.41094,                0.25415,                 1.1342,                 3.4225,                 2.3859,                 1.3107,               0.026288,              0.0062876,              0.0062876
                      9,                0.63906,                 1.5305,                 1.3309,                 1.0402,                0.60492,                0.45276,                0.48918,                0.35505,                0.56794,                0.46416,                0.44027,                0.29841,                 1.1957,                 4.0895,                 2.2301,                  1.359,               0.017757,              0.0067568,              0.0067568
                     10,                 0.6654,                  1.486,                 1.3185,                  1.077,                0.52738,                0.15789,                0.22316,                0.15038,                0.54199,                0.15789,                0.18741,                0.10388,                 1.6998,                 4.8633,                 2.5873,                 1.7282,              0.0091778,              0.0071778,              0.0071778
                     11,                0.67436,                 1.6724,                 1.3358,                 1.0556,                0.36817,                0.23684,                0.25001,                0.15626,                0.27593,                0.18421,                0.16191,                0.09747,                 1.5032,                 5.1665,                 2.4217,                 1.6902,              0.0070568,              0.0070568,              0.0070568
                     12,                0.70081,                 1.7147,                 1.3893,                 1.0827,                0.49429,                0.52632,                0.46616,                0.30799,                0.48506,                0.52632,                0.42123,                0.27441,                 1.1713,                 3.4328,                 2.1178,                 1.4242,              0.0070568,              0.0070568,              0.0070568
                     13,                0.66508,                 1.3857,                 1.2877,                 1.0617,                0.60261,                0.53259,                0.51829,                0.31976,                0.50299,                0.45797,                0.41402,                0.27028,                 1.3256,                 3.9102,                 2.1149,                 1.6372,              0.0067892,              0.0067892,              0.0067892
                     14,                 0.6488,                 1.4269,                 1.2216,                 1.0557,                0.65404,                0.42105,                 0.4759,                0.27566,                0.52489,                0.34211,                0.36634,                0.21691,                 1.4376,                 4.1737,                 2.1693,                 1.7517,              0.0065216,              0.0065216,              0.0065216
                     15,                0.69088,                 1.4895,                  1.256,                 1.0642,                0.57914,                0.57895,                0.53052,                0.34974,                0.46281,                0.42105,                0.40669,                0.27521,                 1.1805,                 3.7282,                 2.0111,                 1.4357,              0.0062541,              0.0062541,              0.0062541
                     16,                0.72186,                 1.5256,                 1.2348,                 1.0726,                0.65276,                0.60526,                0.51892,                0.34325,                0.62534,                0.49334,                0.45639,                0.30095,                 1.1262,                 3.9183,                 1.9691,                 1.3933,              0.0059865,              0.0059865,              0.0059865
                     17,                0.66677,                 1.4465,                 1.1236,                 1.0248,                0.61519,                  0.519,                0.50466,                0.31109,                0.60065,                0.42105,                0.42197,                0.26499,                 1.1804,                  4.002,                 1.9908,                 1.5402,              0.0057189,              0.0057189,              0.0057189
                     18,                0.64919,                 1.3842,                 1.1227,                 1.0515,                0.62883,                0.49999,                0.51688,                0.33261,                0.55691,                0.44737,                0.44001,                0.28166,                 1.2027,                 3.9451,                 1.9779,                 1.4183,              0.0054514,              0.0054514,              0.0054514
                     19,                0.67669,                 1.3236,                 1.1052,                 1.0539,                0.71826,                0.62964,                0.63564,                0.42249,                0.66978,                 0.6006,                 0.6154,                0.36626,                  1.264,                 3.5298,                 1.7094,                 1.4857,              0.0051838,              0.0051838,              0.0051838
                     20,                0.66799,                 1.4241,                 1.1017,                 1.0426,                0.65054,                0.63697,                0.60783,                0.40832,                0.61937,                0.58798,                0.54632,                0.33566,                 1.1836,                 4.0001,                 1.7652,                  1.477,              0.0049162,              0.0049162,              0.0049162
                     21,                0.63772,                 1.3492,                 1.0816,                 1.0392,                0.76628,                0.54557,                0.57892,                0.41849,                0.76202,                0.44546,                0.48283,                0.33818,                 1.1133,                 3.9087,                  1.745,                 1.3659,              0.0046486,              0.0046486,              0.0046486
                     22,                0.62482,                 1.3905,                  1.099,                 1.0426,                0.65275,                0.55263,                0.56772,                0.39739,                0.64473,                0.49173,                0.49283,                0.31716,                 1.1717,                 3.4387,                 1.7638,                 1.4129,              0.0043811,              0.0043811,              0.0043811
                     23,                0.63503,                 1.3319,                 1.0558,                 1.0244,                0.57089,                0.63858,                0.57136,                0.37006,                0.49134,                0.55263,                0.40166,                0.28232,                 1.0537,                 4.0549,                 1.8091,                 1.3538,              0.0041135,              0.0041135,              0.0041135
                     24,                0.59957,                 1.3473,                 1.0612,                0.99804,                0.73579,                0.49962,                0.55354,                0.40687,                0.55025,                0.52632,                0.47428,                0.32837,                 1.0585,                  3.869,                 1.7504,                  1.334,              0.0038459,              0.0038459,              0.0038459
                     25,                0.61166,                 1.2213,                 1.0341,                 1.0451,                0.73967,                0.54599,                0.55458,                0.39849,                0.58217,                0.55263,                0.48958,                0.32241,                 1.0448,                 3.7016,                 1.7897,                 1.3229,              0.0035784,              0.0035784,              0.0035784
                     26,                0.55195,                 1.2109,                0.95865,                 1.0205,                0.73698,                0.59952,                0.58209,                0.40247,                0.60632,                0.53086,                0.46913,                0.32363,                 1.0767,                   3.25,                 1.8231,                 1.3317,              0.0033108,              0.0033108,              0.0033108
                     27,                0.58586,                 1.3241,                 1.0406,                 1.0148,                0.55742,                0.56583,                0.51335,                0.37339,                0.52269,                0.47368,                0.44161,                0.30584,                  1.057,                 3.6249,                 1.9356,                 1.3036,              0.0030432,              0.0030432,              0.0030432
                     28,                0.57819,                 1.1389,                0.93936,                 1.0131,                 0.7049,                0.57895,                0.52745,                0.35606,                0.63406,                    0.5,                0.41461,                0.27261,                 1.0414,                 3.3798,                 1.9352,                 1.3294,              0.0027757,              0.0027757,              0.0027757
                     29,                0.57719,                 1.2483,                0.94198,                 0.9877,                0.69774,                0.60526,                0.55775,                0.32373,                0.60032,                0.52632,                0.42824,                0.26269,                 1.2232,                 3.1679,                 1.9581,                 1.5209,              0.0025081,              0.0025081,              0.0025081
                     30,                0.56577,                 1.0564,                0.92875,                 1.0101,                0.67835,                0.54296,                 0.5219,                0.34979,                0.67179,                0.54244,                0.47929,                0.27097,                 1.1231,                 3.2981,                 1.8674,                 1.3642,              0.0022405,              0.0022405,              0.0022405
                     31,                0.59382,                 1.2471,                 0.9261,                  1.025,                0.77381,                    0.5,                0.57934,                0.41232,                0.69779,                0.44737,                0.51111,                0.36828,                 1.0477,                 3.2663,                  1.844,                 1.2548,               0.001973,               0.001973,               0.001973
                     32,                0.54278,                 1.2969,                0.89038,                0.98426,                0.65948,                0.58216,                0.56955,                0.38972,                0.59546,                0.49033,                0.48281,                0.33965,                 1.1124,                 3.2132,                 1.8561,                 1.3752,              0.0017054,              0.0017054,              0.0017054
                     33,                0.58072,                 1.2775,                0.92016,                 1.0265,                0.67223,                0.54877,                0.55649,                0.39201,                 0.5882,                0.47368,                0.47257,                0.31921,                 1.0673,                 2.9374,                 1.8427,                 1.3375,              0.0014378,              0.0014378,              0.0014378
                     34,                0.53314,                 1.1237,                0.85095,                0.97022,                 0.5942,                0.53744,                0.54078,                0.36637,                0.56354,                0.44381,                0.43996,                0.30859,                 1.1013,                 2.9949,                 1.9337,                 1.3691,              0.0011703,              0.0011703,              0.0011703
                     35,                0.52547,                 1.0386,                0.88368,                0.99294,                0.57348,                0.55263,                0.54942,                0.36518,                0.51235,                0.47368,                0.44652,                0.30754,                 1.1153,                 3.1419,                 1.9287,                 1.4286,              0.0009027,              0.0009027,              0.0009027
                     36,                0.52942,                 1.0707,                0.84708,                0.97311,                0.65169,                0.57895,                0.54857,                0.36309,                0.63792,                0.51845,                0.48808,                0.31673,                 1.1212,                 2.8739,                 1.9212,                 1.3717,             0.00063514,             0.00063514,             0.00063514
